2.129104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|0|1|1
2.146444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|0|1|1
2.229104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|1|1|1
2.246444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|1|1|1
2.329104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|2|1|1
2.346444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|2|1|1
2.429104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|3|1|1
2.446444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|3|1|1
2.529104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|4|1|1
2.546444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|4|1|1
2.629104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|5|1|1
2.646444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|5|1|1
2.729104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|6|1|1
2.746444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|6|1|1
2.829104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|7|1|1
2.846444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|7|1|1
2.929104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|8|1|1
2.946444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|8|1|1
3.029104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|9|1|1
3.046444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|9|1|1
3.129104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|10|1|1
3.146444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|10|1|1
3.229104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|11|1|1
3.246444231|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|11|1|1
3.329104767|tx|0|1|200|7.0.0.2|49153|225.0.0.0|8000|12|1|1
