timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr
2.129104767,0,571861.1356873828,14,2,0.0,0.0
2.229104767,1,571861.1356873828,14,2,0.0,0.0
2.329104767,2,571861.1356873828,14,2,0.0,0.0
2.429104767,3,571861.1356873828,14,2,0.0,0.0
2.529104767,4,571861.1356873828,14,2,0.0,0.0
2.629104767,5,571861.1356873828,14,2,0.0,0.0
2.729104767,6,571861.1356873828,14,2,0.0,0.0
2.829104767,7,571861.1356873828,14,2,0.0,0.0
2.929104767,8,571861.1356873828,14,2,0.0,0.0
3.029104767,9,571861.1356873828,14,2,0.0,0.0
3.129104767,10,571861.1356873828,14,2,0.0,0.0
3.229104767,11,571861.1356873828,14,2,0.0,0.0
3.329104767,12,571861.1356873828,14,2,0.0,0.0
3.429104767,13,571861.1356873828,14,2,0.0,0.0
3.529104767,14,571861.1356873828,14,2,0.0,0.0
3.629104767,15,571861.1356873828,14,2,0.0,0.0
3.729104767,16,571861.1356873828,14,2,0.0,0.0
3.829104767,17,571861.1356873828,14,2,0.0,0.0
3.929104767,18,571861.1356873828,14,2,0.0,0.0
4.029104767,19,571861.1356873828,14,2,0.0,0.0
4.129104767,20,571861.1356873828,14,2,0.0,0.0
4.229104767,21,571861.1356873828,14,2,0.0,0.0
4.329104767,22,571861.1356873828,14,2,0.0,0.0
4.429104767,23,571861.1356873828,14,2,0.0,0.0
4.529104767,24,571861.1356873828,14,2,0.0,0.0
4.629104767,25,571861.1356873828,14,2,0.0,0.0
4.729104767,26,571861.1356873828,14,2,0.0,0.0
4.829104767,27,571861.1356873828,14,2,0.0,0.0
4.929104767,28,571861.1356873828,14,2,0.0,0.0
5.029104767,29,571861.1356873828,14,2,0.0,0.0
5.129104767,30,571861.1356873828,14,2,0.0,0.0
5.229104767,31,571861.1356873828,14,2,0.0,0.0
5.329104767,32,571861.1356873828,14,2,0.0,0.0
5.429104767,33,571861.1356873828,14,2,0.0,0.0
5.529104767,34,571861.1356873828,14,2,0.0,0.0
5.629104767,35,571861.1356873828,14,2,0.0,0.0
5.729104767,36,571861.1356873828,14,2,0.0,0.0
5.829104767,37,571861.1356873828,14,2,0.0,0.0
5.929104767,38,571861.1356873828,14,2,0.0,0.0
6.029104767,39,571861.1356873828,14,2,0.0,0.0
6.129104767,40,571861.1356873828,14,2,0.0,0.0
6.229104767,41,571861.1356873828,14,2,0.0,0.0
6.329104767,42,571861.1356873828,14,2,0.0,0.0
6.429104767,43,571861.1356873828,14,2,0.0,0.0
6.529104767,44,571861.1356873828,14,2,0.0,0.0
6.629104767,45,571861.1356873828,14,2,0.0,0.0
6.729104767,46,571861.1356873828,14,2,0.0,0.0
6.829104767,47,571861.1356873828,14,2,0.0,0.0
6.929104767,48,571861.1356873828,14,2,0.0,0.0
7.029104767,49,571861.1356873828,14,2,0.0,0.0
7.129104767,50,571861.1356873828,14,2,0.0,0.0
7.229104767,51,571861.1356873828,14,2,0.0,0.0
7.329104767,52,571861.1356873828,14,2,0.0,0.0
7.429104767,53,571861.1356873828,14,2,0.0,0.0
7.529104767,54,571861.1356873828,14,2,0.0,0.0
7.629104767,55,571861.1356873828,14,2,0.0,0.0
7.729104767,56,571861.1356873828,14,2,0.0,0.0
7.829104767,57,571861.1356873828,14,2,0.0,0.0
7.929104767,58,571861.1356873828,14,2,0.0,0.0
8.029104767,59,571861.1356873828,14,2,0.0,0.0
8.129104767,60,571861.1356873828,14,2,0.0,0.0
8.229104767,61,571861.1356873828,14,2,0.0,0.0
8.329104767,62,571861.1356873828,14,2,0.0,0.0
8.429104767,63,571861.1356873828,14,2,0.0,0.0
8.529104767,64,571861.1356873828,14,2,0.0,0.0
8.629104767,65,571861.1356873828,14,2,0.0,0.0
8.729104767,66,571861.1356873828,14,2,0.0,0.0
8.829104767,67,571861.1356873828,14,2,0.0,0.0
8.929104767,68,571861.1356873828,14,2,0.0,0.0
9.029104767,69,571861.1356873828,14,2,0.0,0.0
9.129104767,70,571861.1356873828,14,2,0.0,0.0
9.229104767,71,571861.1356873828,14,2,0.0,0.0
9.329104767,72,571861.1356873828,14,2,0.0,0.0
9.429104767,73,571861.1356873828,14,2,0.0,0.0
9.529104767,74,571861.1356873828,14,2,0.0,0.0
9.629104767,75,571861.1356873828,14,2,0.0,0.0
9.729104767,76,571861.1356873828,14,2,0.0,0.0
9.829104767,77,571861.1356873828,14,2,0.0,0.0
9.929104767,78,571861.1356873828,14,2,0.0,0.0
10.029104767,79,571861.1356873828,14,2,0.0,0.0
10.129104767,80,571861.1356873828,14,2,0.0,0.0
10.229104767,81,571861.1356873828,14,2,0.0,0.0
10.329104767,82,571861.1356873828,14,2,0.0,0.0
