2137.0|1|1|213|7|0|0|1|100|10|0|14|235|100|4|2|1|3|2|8|1|1
2157.0|1|1|215|7|0|0|1|50|10|0|14|235|100|4|1|1|3|1|255|1|1
2157.0|2|2|215|7|0|0|1|150|10|0|14|235|100|4|3|1|3|1|11|1|1
2169.0|2|2|216|9|0|0|1|50|10|0|14|235|100|4|1|1|3|9|255|1|1
2237.0|1|1|223|7|0|0|1|100|10|0|14|235|100|4|2|1|3|2|8|1|1
2257.0|1|1|225|7|0|0|1|50|10|0|14|235|100|4|1|1|3|1|255|1|1
2257.0|2|2|225|7|0|0|1|150|10|0|14|235|100|4|3|1|3|1|11|1|1
2269.0|2|2|226|9|0|0|1|50|10|0|14|235|100|4|1|1|3|9|255|1|1
2337.0|1|1|233|7|0|0|1|100|10|0|14|235|100|4|2|1|3|2|8|1|1
2357.0|1|1|235|7|0|0|1|50|10|0|14|235|100|4|1|1|3|1|255|1|1
2357.0|2|2|235|7|0|0|1|150|10|0|14|235|100|4|3|1|3|1|11|1|1
2369.0|2|2|236|9|0|0|1|50|10|0|14|235|100|4|1|1|3|9|255|1|1
2437.0|1|1|243|7|0|0|1|100|10|0|14|235|100|4|2|1|3|2|8|1|1
2457.0|1|1|245|7|0|0|1|50|10|0|14|235|100|4|1|1|3|1|255|1|1
2457.0|2|2|245|7|0|0|1|150|10|0|14|235|100|4|3|1|3|1|11|1|1
2469.0|2|2|246|9|0|0|1|50|10|0|14|235|100|4|1|1|3|9|255|1|1
2537.0|1|1|253|7|0|0|1|100|10|0|14|235|100|4|2|1|3|2|8|1|1
2557.0|1|1|255|7|0|0|1|50|10|0|14|235|100|4|1|1|3|1|255|1|1
2557.0|2|2|255|7|0|0|1|150|10|0|14|235|100|4|3|1|3|1|11|1|1
2569.0|2|2|256|9|0|0|1|50|10|0|14|235|100|4|1|1|3|9|255|1|1
2637.0|1|1|263|7|0|0|1|100|10|0|14|235|100|4|2|1|3|2|8|1|1
2657.0|1|1|265|7|0|0|1|50|10|0|14|235|100|4|1|1|3|1|255|1|1
2657.0|2|2|265|7|0|0|1|150|10|0|14|235|100|4|3|1|3|1|11|1|1
2669.0|2|2|266|9|0|0|1|50|10|0|14|235|100|4|1|1|3|9|255|1|1
