2.137071427|1|2|265055.115718909|264869.673077422|0|0
2.169071427|2|1|162506.411785011|158219.414164404|0|0
2.237071427|1|2|144969.00257954|143075.842169451|0|0
2.269071427|2|1|158823.949915299|157390.125961342|0|0
2.337071427|1|2|134296.406005133|132198.574519275|0|0
2.369071427|2|1|200982.450942438|194538.33611144|0|0
2.437071427|1|2|261955.599610341|257702.515978549|0|0
2.469071427|2|1|188191.036086379|184785.250302893|0|0
2.537071427|1|2|192900.370804|184998.198260404|0|0
2.569071427|2|1|148388.886711041|147492.848418499|0|0
2.637071427|1|2|157806.913109994|153938.264896838|0|0
2.669071427|2|1|203002.419488367|200951.320917056|0|0
2.737071427|1|2|205058.652577188|204744.254451068|0|0
2.769071427|2|1|188027.477491317|187605.980915809|0|0
2.837071427|1|2|155410.186161991|153223.769761799|0|0
2.869071427|2|1|87895.1836186077|86616.5688972644|0|0
2.937071427|1|2|129807.847629883|128160.976752626|0|0
2.969071427|2|1|323665.281035404|315607.355457725|0|0
3.037071427|1|2|298232.864011748|296158.468916896|0|0
3.069071427|2|1|169461.676152379|163381.734381113|0|0
3.137071427|1|2|118828.908166284|114215.187654076|0|0
3.169071427|2|1|123257.661864289|121635.463108333|0|0
3.239071427|1|2|186317.099070035|184513.29173066|0|0
3.247071427|1|2|287099.971125298|282721.728845424|0|0
3.249071427|2|1|213722.125305259|207916.051211717|0|0
3.278071427|2|1|152045.21935535|151826.334198896|0|0
3.339071427|1|2|149813.909958631|146325.227717385|0|0
3.347071427|1|2|131259.257794568|130438.895889449|0|0
3.349071427|2|1|134864.815925405|133208.464400734|0|0
3.378071427|2|1|108539.993472708|108260.456660775|0|0
3.439071427|1|2|251869.612425415|249946.274060233|0|0
3.447071427|1|2|118326.539671171|117247.380835422|0|0
3.449071427|2|1|135484.932136744|134178.683959198|0|0
3.478071427|2|1|232979.036144335|228554.973728765|0|0
3.539071427|1|2|118793.208685599|116520.780869229|0|0
3.547071427|1|2|242843.355093796|242130.653668567|0|0
3.549071427|2|1|218786.2387712|215856.310068689|0|0
3.578071427|2|1|260053.091793303|256264.292376992|0|0
3.639071427|1|2|184482.730186786|183473.130420128|0|0
3.647071427|1|2|165237.808376294|161224.958224146|0|0
3.649071427|2|1|182583.629399364|180599.472213293|0|0
3.678071427|2|1|52930.5634848616|52822.5080932795|0|0
3.739071427|1|2|200450.790606837|196588.728464818|0|0
3.747071427|1|2|132029.107535826|131487.222142347|0|0
3.749071427|2|1|128282.863294395|126451.469357402|0|0
3.778071427|2|1|257845.37952257|254586.33906724|0|0
3.839071427|1|2|145160.176524431|142472.791266434|0|0
3.847071427|1|2|192903.013542771|191581.017928925|0|0
3.849071427|2|1|192678.939065748|192192.797807429|0|0
3.878071427|2|1|238690.648592869|233680.305577392|0|0
3.939071427|1|2|156601.774043461|152197.830136569|0|0
3.947071427|1|2|214511.043081946|210057.200798731|0|0
3.949071427|2|1|227861.128837041|225778.926901889|0|0
3.978071427|2|1|65664.3560342047|64811.6078754847|0|0
4.039071427|1|2|291598.461584955|286309.901310093|0|0
4.047071427|1|2|130818.743586954|126883.339464534|0|0
4.049071427|2|1|87261.2854089883|83603.5745276993|0|0
4.078071427|2|1|231888.600083992|230946.506663382|0|0
4.137071427|1|2|208399.97482071|204424.018045773|0|0
4.149071427|2|1|191617.794405675|189351.274167333|0|0
4.158071427|1|2|175464.167391713|175083.355138992|0|0
4.168071427|2|1|222079.110979056|220656.531189659|0|0
4.237071427|1|2|110395.770050517|108415.712494003|0|0
4.249071427|2|1|305104.675851634|300596.159230302|0|0
4.258071427|1|2|148687.363074693|147893.137680105|0|0
4.268071427|2|1|187866.798374713|185066.097770838|0|0
4.337071427|1|2|189124.737204235|188286.627303179|0|0
4.349071427|2|1|68562.1382288727|64857.5680396773|0|0
4.358071427|1|2|177376.265240857|174447.114816892|0|0
4.368071427|2|1|126881.075440315|124516.208125755|0|0
4.437071427|1|2|273789.309140618|267141.446049355|0|0
4.449071427|2|1|200795.577249142|198782.335044542|0|0
4.458071427|1|2|199759.461739788|198936.360551284|0|0
4.468071427|2|1|179740.826242154|179256.481280238|0|0
4.537071427|1|2|76475.9756224551|72984.2599167877|0|0
4.549071427|2|1|261516.40319783|258359.544977134|0|0
4.558071427|1|2|125168.77590264|122372.595134902|0|0
4.568071427|2|1|207384.270445767|201142.49881263|0|0
4.637071427|1|2|196558.365431274|193275.834443531|0|0
4.649071427|2|1|116737.454179995|113038.005010925|0|0
4.658071427|1|2|153205.520277121|151669.557031667|0|0
4.668071427|2|1|146823.769323024|143023.103882769|0|0
4.737071427|1|2|293423.223381877|291552.1752815|0|0
4.749071427|2|1|141195.001760928|139188.834260297|0|0
4.758071427|1|2|284390.147611658|279961.418594313|0|0
4.768071427|2|1|200846.970091566|199969.382999781|0|0
4.837071427|1|2|105139.233279744|104581.221309688|0|0
4.849071427|2|1|342705.049060699|337438.743193714|0|0
4.858071427|1|2|113865.081254367|109264.510679401|0|0
4.868071427|2|1|136904.660200654|134989.132325058|0|0
4.937071427|1|2|196474.447417699|192717.411210606|0|0
4.969071427|2|1|264927.697954707|261396.541212683|0|0
5.037071427|1|2|250879.239521003|249439.909129678|0|0
5.069071427|2|1|136735.259426121|135694.846363439|0|0
5.137071427|1|2|77360.6629471796|75978.7178201623|0|0
5.169071427|2|1|140929.472942567|139699.279075622|0|0
5.237071427|1|2|289651.897558253|288381.902806655|0|0
5.269071427|2|1|232421.229475248|231744.376848529|0|0
5.337071427|1|2|152894.199656511|150373.999202567|0|0
5.369071427|2|1|128051.377631927|127503.654407021|0|0
5.437071427|1|2|136502.992563916|136452.849388538|0|0
5.469071427|2|1|152364.331279116|151445.275651293|0|0
5.537071427|1|2|174845.526969047|168571.565711761|0|0
5.569071427|2|1|310028.447712914|309145.34515237|0|0
5.637071427|1|2|252986.364257278|247458.328013246|0|0
5.669071427|2|1|108063.91550979|103702.977365589|0|0
5.737071427|1|2|125540.313077485|124181.244187928|0|0
5.769071427|2|1|135049.193853208|131056.724068484|0|0
5.837071427|1|2|172704.430628011|169783.494016866|0|0
5.869071427|2|1|287871.398020057|284953.745381463|0|0
5.937071427|1|2|166966.984218301|164798.987839405|0|0
5.949071427|2|1|150485.75943978|144816.038915737|0|0
5.957071427|1|2|291889.674054951|288265.625719918|0|0
5.968071427|2|1|129466.949197806|129100.393028198|0|0
6.037071427|1|2|186450.708211771|186382.816257679|0|0
6.049071427|2|1|221583.098073803|218100.276624607|0|0
6.057071427|1|2|166218.928669686|162878.191220828|0|0
6.068071427|2|1|196747.45543258|196356.69660442|0|0
6.137071427|1|2|98024.8139951143|94226.1959569181|0|0
6.147071427|1|2|170444.262245506|166547.71377223|0|0
6.149071427|2|1|127032.926477758|124956.250802409|0|0
6.168071427|2|1|260924.6149033|259662.701499502|0|0
6.237071427|1|2|214770.158040715|211980.991046605|0|0
6.247071427|1|2|141740.337012724|136264.605457339|0|0
6.249071427|2|1|194449.489257301|192153.10755278|0|0
6.268071427|2|1|106891.599595973|99942.2564807256|0|0
6.337071427|1|2|220885.001083859|216057.567082248|0|0
6.347071427|1|2|142498.81368479|140431.402761299|0|0
6.349071427|2|1|155016.064403601|153792.903614511|0|0
6.368071427|2|1|199587.775004168|194801.273489103|0|0
6.437071427|1|2|125108.632026422|122001.363352402|0|0
6.447071427|1|2|281247.745685991|278159.211244928|0|0
6.449071427|2|1|229012.436822656|227814.11418256|0|0
6.468071427|2|1|216152.268945787|214374.286693523|0|0
6.537071427|1|2|138608.624319406|138318.021957077|0|0
6.547071427|1|2|116672.373462373|115026.878916308|0|0
