2137.0|1|1|1|255|213|7|0|1|12|50|100|50|0|1|0|255|255|0|1|1|1
2139.0|1|1|1|255|213|9|0|1|12|50|0|50|0|0|2|255|255|0|1|1|1
2145.0|1|1|1|255|214|5|0|1|12|50|150|50|0|0|3|255|255|0|1|1|1
2157.0|1|1|1|255|215|7|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2157.0|2|2|2|255|215|7|0|1|12|50|150|50|0|1|0|255|255|0|1|1|1
2158.0|1|1|1|255|215|8|0|1|12|50|100|50|0|0|0|255|255|0|1|1|1
2158.0|2|2|2|255|215|8|0|1|12|50|50|50|0|0|2|255|255|0|1|1|1
2168.0|2|2|2|255|216|8|0|1|12|50|100|50|0|0|3|255|255|0|1|1|1
2169.0|2|2|2|255|216|9|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2178.0|2|2|2|255|217|8|0|1|12|50|0|50|0|0|0|255|255|0|1|1|1
2237.0|1|1|1|255|223|7|0|1|12|50|100|50|0|1|0|255|255|0|1|1|1
2239.0|1|1|1|255|223|9|0|1|12|50|0|50|0|0|2|255|255|0|1|1|1
2245.0|1|1|1|255|224|5|0|1|12|50|150|50|0|0|3|255|255|0|1|1|1
2257.0|1|1|1|255|225|7|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2257.0|2|2|2|255|225|7|0|1|12|50|150|50|0|1|0|255|255|0|1|1|1
2258.0|1|1|1|255|225|8|0|1|12|50|100|50|0|0|0|255|255|0|1|1|1
2258.0|2|2|2|255|225|8|0|1|12|50|50|50|0|0|2|255|255|0|1|1|1
2268.0|2|2|2|255|226|8|0|1|12|50|100|50|0|0|3|255|255|0|1|1|1
2269.0|2|2|2|255|226|9|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2278.0|2|2|2|255|227|8|0|1|12|50|0|50|0|0|0|255|255|0|1|1|1
2337.0|1|1|1|255|233|7|0|1|12|50|100|50|0|1|0|255|255|0|1|1|1
2339.0|1|1|1|255|233|9|0|1|12|50|0|50|0|0|2|255|255|0|1|1|1
2345.0|1|1|1|255|234|5|0|1|12|50|150|50|0|0|3|255|255|0|1|1|1
2357.0|1|1|1|255|235|7|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2357.0|2|2|2|255|235|7|0|1|12|50|150|50|0|1|0|255|255|0|1|1|1
2358.0|1|1|1|255|235|8|0|1|12|50|100|50|0|0|0|255|255|0|1|1|1
2358.0|2|2|2|255|235|8|0|1|12|50|50|50|0|0|2|255|255|0|1|1|1
2368.0|2|2|2|255|236|8|0|1|12|50|100|50|0|0|3|255|255|0|1|1|1
2369.0|2|2|2|255|236|9|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2378.0|2|2|2|255|237|8|0|1|12|50|0|50|0|0|0|255|255|0|1|1|1
2437.0|1|1|1|255|243|7|0|1|12|50|100|50|0|1|0|255|255|0|1|1|1
2439.0|1|1|1|255|243|9|0|1|12|50|0|50|0|0|2|255|255|0|1|1|1
2445.0|1|1|1|255|244|5|0|1|12|50|150|50|0|0|3|255|255|0|1|1|1
2457.0|1|1|1|255|245|7|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2457.0|2|2|2|255|245|7|0|1|12|50|150|50|0|1|0|255|255|0|1|1|1
2458.0|1|1|1|255|245|8|0|1|12|50|100|50|0|0|0|255|255|0|1|1|1
2458.0|2|2|2|255|245|8|0|1|12|50|50|50|0|0|2|255|255|0|1|1|1
2468.0|2|2|2|255|246|8|0|1|12|50|100|50|0|0|3|255|255|0|1|1|1
2469.0|2|2|2|255|246|9|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2478.0|2|2|2|255|247|8|0|1|12|50|0|50|0|0|0|255|255|0|1|1|1
2537.0|1|1|1|255|253|7|0|1|12|50|100|50|0|1|0|255|255|0|1|1|1
2539.0|1|1|1|255|253|9|0|1|12|50|0|50|0|0|2|255|255|0|1|1|1
2545.0|1|1|1|255|254|5|0|1|12|50|150|50|0|0|3|255|255|0|1|1|1
2557.0|1|1|1|255|255|7|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2557.0|2|2|2|255|255|7|0|1|12|50|150|50|0|1|0|255|255|0|1|1|1
2558.0|1|1|1|255|255|8|0|1|12|50|100|50|0|0|0|255|255|0|1|1|1
2558.0|2|2|2|255|255|8|0|1|12|50|50|50|0|0|2|255|255|0|1|1|1
2568.0|2|2|2|255|256|8|0|1|12|50|100|50|0|0|3|255|255|0|1|1|1
2569.0|2|2|2|255|256|9|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2578.0|2|2|2|255|257|8|0|1|12|50|0|50|0|0|0|255|255|0|1|1|1
2637.0|1|1|1|255|263|7|0|1|12|50|100|50|0|1|0|255|255|0|1|1|1
2639.0|1|1|1|255|263|9|0|1|12|50|0|50|0|0|2|255|255|0|1|1|1
2645.0|1|1|1|255|264|5|0|1|12|50|150|50|0|0|3|255|255|0|1|1|1
2657.0|1|1|1|255|265|7|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2657.0|2|2|2|255|265|7|0|1|12|50|150|50|0|1|0|255|255|0|1|1|1
2658.0|1|1|1|255|265|8|0|1|12|50|100|50|0|0|0|255|255|0|1|1|1
2658.0|2|2|2|255|265|8|0|1|12|50|50|50|0|0|2|255|255|0|1|1|1
2668.0|2|2|2|255|266|8|0|1|12|50|100|50|0|0|3|255|255|0|1|1|1
2669.0|2|2|2|255|266|9|0|1|12|50|50|50|0|0|1|255|255|0|1|1|1
2678.0|2|2|2|255|267|8|0|1|12|50|0|50|0|0|0|255|255|0|1|1|1
