2.101195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|0|1|1
2.163385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|0|1|1
2.201195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|1|1|1
2.263385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|1|1|1
2.301195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|2|1|1
2.363385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|2|1|1
2.401195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|3|1|1
2.463385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|3|1|1
2.501195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|4|1|1
2.563385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|4|1|1
2.601195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|5|1|1
2.663385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|5|1|1
2.701195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|6|1|1
2.763385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|6|1|1
2.801195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|7|1|1
2.863385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|7|1|1
2.901195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|8|1|1
2.963385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|8|1|1
3.001195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|9|1|1
3.063385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|9|1|1
3.101195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|10|1|1
3.163385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|10|1|1
3.201195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|11|1|1
3.263385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|11|1|1
3.301195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|12|1|1
3.363385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|12|1|1
3.401195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|13|1|1
3.463385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|13|1|1
3.501195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|14|1|1
3.563385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|14|1|1
3.601195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|15|1|1
3.663385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|15|1|1
3.701195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|16|1|1
3.763385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|16|1|1
3.801195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|17|1|1
3.863385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|17|1|1
3.901195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|18|1|1
3.963385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|18|1|1
4.001195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|19|1|1
4.063385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|19|1|1
4.101195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|20|1|1
4.163385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|20|1|1
4.201195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|21|1|1
4.263385696|tx|1|2|200|7.0.0.3|49153|225.0.0.0|8000|21|1|1
4.301195891|tx|4|5|200|7.0.0.6|49153|225.0.0.0|8000|22|1|1
