timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr
2.129104767,0,54.23336190781093,14,1,1.0,1.0
2.146444231,0,54.23336190781093,14,1,1.0,1.0
2.229104767,1,51.61275150870929,14,1,1.0,1.0
2.246444231,1,51.61275150870929,14,1,1.0,1.0
2.329104767,2,51.28064390382609,14,1,1.0,1.0
2.346444231,2,51.28064390382609,14,1,1.0,1.0
2.429104767,3,54.182276864406916,14,1,1.0,1.0
2.446444231,3,54.182276864406916,14,1,1.0,1.0
2.529104767,4,52.85333062470096,14,1,1.0,1.0
2.546444231,4,52.85333062470096,14,1,1.0,1.0
2.629104767,5,51.98126024600653,14,1,1.0,1.0
2.646444231,5,51.98126024600653,14,1,1.0,1.0
2.729104767,6,53.11878099335502,14,1,1.0,1.0
2.746444231,6,53.11878099335502,14,1,1.0,1.0
2.829104767,7,51.91479480674453,14,1,1.0,1.0
2.846444231,7,51.91479480674453,14,1,1.0,1.0
2.929104767,8,51.133009488536416,14,1,1.0,1.0
2.946444231,8,51.133009488536416,14,1,1.0,1.0
3.029104767,9,54.74555499185832,14,1,1.0,1.0
3.046444231,9,54.74555499185832,14,1,1.0,1.0
3.129104767,10,50.74922106721394,14,1,1.0,1.0
3.146444231,10,50.74922106721394,14,1,1.0,1.0
3.229104767,11,52.702527136777405,14,1,1.0,1.0
3.246444231,11,54.58033148817912,14,1,1.0,1.0
3.329104767,12,51.755521387160464,14,1,1.0,1.0
3.346444231,12,51.18129944209835,14,1,1.0,1.0
3.429104767,13,54.01175773881463,14,1,1.0,1.0
3.446444231,13,50.73082164239487,14,1,1.0,1.0
3.529104767,14,50.74791613080563,14,1,1.0,1.0
3.546444231,14,53.85326224401275,14,1,1.0,1.0
3.629104767,15,52.659557171854566,14,1,1.0,1.0
3.646444231,15,52.18109426098823,14,1,1.0,1.0
3.729104767,16,53.0200777351001,14,1,1.0,1.0
3.746444231,16,51.2066968763483,14,1,1.0,1.0
3.829104767,17,51.6184748765982,14,1,1.0,1.0
3.846444231,17,52.853390122720526,14,1,1.0,1.0
3.929104767,18,51.94796677600096,14,1,1.0,1.0
3.946444231,18,53.314496546843884,14,1,1.0,1.0
4.029104767,19,54.6478522840133,14,1,1.0,1.0
4.046444231,19,51.16669973752734,14,1,1.0,1.0
4.129104767,20,53.188976621551866,14,1,1.0,1.0
