timeSec,seq_id,sinr_db,mcs,packet_sent,packet_received,window_pdr,success
2.129104767,0,180184.4344542264,14,2,0.0,0.0,1
2.229104767,1,180184.4344542264,14,2,0.0,0.0,1
2.329104767,2,180184.4344542264,14,2,0.0,0.0,1
2.429104767,3,180184.4344542264,14,2,0.0,0.0,1
2.529104767,4,180184.4344542264,14,2,0.0,0.0,1
2.629104767,5,180184.4344542264,14,2,0.0,0.0,1
2.729104767,6,180184.4344542264,14,2,0.0,0.0,1
2.829104767,7,180184.4344542264,14,2,0.0,0.0,1
2.929104767,8,180184.4344542264,14,2,0.0,0.0,1
3.029104767,9,180184.4344542264,14,2,0.0,0.0,1
3.129104767,10,180184.4344542264,14,2,0.0,0.0,1
3.229104767,11,180184.4344542264,14,2,0.0,0.0,1
3.329104767,12,180184.4344542264,14,2,0.0,0.0,1
3.429104767,13,180184.4344542264,14,2,0.0,0.0,1
3.529104767,14,180184.4344542264,14,2,0.0,0.0,1
3.629104767,15,180184.4344542264,14,2,0.0,0.0,1
3.729104767,16,180184.4344542264,14,2,0.0,0.0,1
3.829104767,17,180184.4344542264,14,2,0.0,0.0,1
3.929104767,18,180184.4344542264,14,2,0.0,0.0,1
4.029104767,19,180184.4344542264,14,2,0.0,0.0,1
4.129104767,20,180184.4344542264,14,2,0.0,0.0,1
4.229104767,21,180184.4344542264,14,2,0.0,0.0,1
4.329104767,22,180184.4344542264,14,2,0.0,0.0,1
4.429104767,23,180184.4344542264,14,2,0.0,0.0,1
4.529104767,24,180184.4344542264,14,2,0.0,0.0,1
4.629104767,25,180184.4344542264,14,2,0.0,0.0,1
4.729104767,26,180184.4344542264,14,2,0.0,0.0,1
4.829104767,27,180184.4344542264,14,2,0.0,0.0,1
4.929104767,28,180184.4344542264,14,2,0.0,0.0,1
5.029104767,29,180184.4344542264,14,2,0.0,0.0,1
5.129104767,30,180184.4344542264,14,2,0.0,0.0,1
5.229104767,31,180184.4344542264,14,2,0.0,0.0,1
5.329104767,32,180184.4344542264,14,2,0.0,0.0,1
5.429104767,33,180184.4344542264,14,2,0.0,0.0,1
5.529104767,34,180184.4344542264,14,2,0.0,0.0,1
5.629104767,35,180184.4344542264,14,2,0.0,0.0,1
5.729104767,36,180184.4344542264,14,2,0.0,0.0,1
5.829104767,37,180184.4344542264,14,2,0.0,0.0,1
5.929104767,38,180184.4344542264,14,2,0.0,0.0,1
6.029104767,39,180184.4344542264,14,2,0.0,0.0,1
6.129104767,40,180184.4344542264,14,2,0.0,0.0,1
6.229104767,41,180184.4344542264,14,2,0.0,0.0,1
6.329104767,42,180184.4344542264,14,2,0.0,0.0,1
6.429104767,43,180184.4344542264,14,2,0.0,0.0,1
6.529104767,44,180184.4344542264,14,2,0.0,0.0,1
6.629104767,45,180184.4344542264,14,2,0.0,0.0,1
6.729104767,46,180184.4344542264,14,2,0.0,0.0,1
6.829104767,47,180184.4344542264,14,2,0.0,0.0,1
6.929104767,48,180184.4344542264,14,2,0.0,0.0,1
7.029104767,49,180184.4344542264,14,2,0.0,0.0,1
7.129104767,50,180184.4344542264,14,2,0.0,0.0,1
7.229104767,51,180184.4344542264,14,2,0.0,0.0,1
7.329104767,52,180184.4344542264,14,2,0.0,0.0,1
7.429104767,53,180184.4344542264,14,2,0.0,0.0,1
7.529104767,54,180184.4344542264,14,2,0.0,0.0,1
7.629104767,55,180184.4344542264,14,2,0.0,0.0,1
7.729104767,56,180184.4344542264,14,2,0.0,0.0,1
7.829104767,57,180184.4344542264,14,2,0.0,0.0,1
7.929104767,58,180184.4344542264,14,2,0.0,0.0,1
8.029104767,59,180184.4344542264,14,2,0.0,0.0,1
